Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2026-09-01,JAT,3148,EZE,IGR,P,,,,false,,2026-09-01T08:15,,,,,,2026-09-01T10:09,,Airbus A321,,,,,,,,bd8c9c96-eaea-4bd8-b912-31d2804d17c7,99e6f6e7-53a0-469c-be85-6c9e3b7a605b,de292294-f7c0-4b76-ae80-ead515d9643c,57b65972-7fab-4e9f-8187-1d7be556ff69,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2026-09-01,JAT,3145,IGR,AEP,,,,,false,,2026-09-01T21:47,,,,,,2026-09-01T23:47,,Airbus A321,,,,,,,,b42780de-c812-4337-8d20-a5bd3455265c,99e6f6e7-53a0-469c-be85-6c9e3b7a605b,57b65972-7fab-4e9f-8187-1d7be556ff69,33907bef-b4c2-4df2-b464-52f95c71fed3,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2026-09-04,LAN,2368,AEP,LIM,,,,,false,,2026-09-04T20:05,,,,,,2026-09-04T23:00,,Airbus A320,,,,,,,,fb814560-e2e3-4317-a5c4-63028e4fd549,ce84921d-eb9e-4443-8925-a9923a70dcd1,33907bef-b4c2-4df2-b464-52f95c71fed3,79aa7b04-9715-4c21-944b-c8ca396a37c2,,63155468-7f9d-4f33-8e5d-c0bf2edd2987
2026-09-06,LAN,2021,LIM,CUZ,,,,,false,,2026-09-06T15:55,,,,,,2026-09-06T17:20,,Airbus A320,,,,,,,,59e37ae2-9f8b-49c1-9795-5b0a213bbebb,ce84921d-eb9e-4443-8925-a9923a70dcd1,79aa7b04-9715-4c21-944b-c8ca396a37c2,eec7c7dc-ae23-44bb-9af5-b94dfd64acf5,,63155468-7f9d-4f33-8e5d-c0bf2edd2987
2026-09-10,LAN,2267,CUZ,LIM,,,,,false,,2026-09-10T13:10,,,,,,2026-09-10T14:45,,Airbus A319,,,,,,,,45d1b705-78e6-4f2c-a351-370424d82842,ce84921d-eb9e-4443-8925-a9923a70dcd1,eec7c7dc-ae23-44bb-9af5-b94dfd64acf5,79aa7b04-9715-4c21-944b-c8ca396a37c2,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2026-09-10,LAN,2427,LIM,SCL,,,2,,false,,2026-09-10T17:20,,,,,,2026-09-10T21:55,,Airbus A320,,,,,,,,7d20b794-508b-434e-9c0d-acedaec02213,ce84921d-eb9e-4443-8925-a9923a70dcd1,79aa7b04-9715-4c21-944b-c8ca396a37c2,3bec8958-b68e-4e4b-9e12-cb5ccf89bc63,,63155468-7f9d-4f33-8e5d-c0bf2edd2987
2026-09-11,LAN,809,SCL,SYD,2,,1,,false,,2026-09-11T01:35,,,,,,2026-09-12T06:50,,Boeing 787-9,,,,,,,,2da8dc66-3335-4028-b87f-2f0172f58a6a,ce84921d-eb9e-4443-8925-a9923a70dcd1,3bec8958-b68e-4e4b-9e12-cb5ccf89bc63,958827d6-30b4-4f21-9da2-e2e5c43635d0,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2026-10-29,VJC,86,SYD,SGN,1,,2,,false,,2026-10-29T12:05,,,,,,2026-10-29T16:40,,Airbus A330,,,,,,,,ebd339d6-7aab-4f3c-896f-683972084696,1906718d-979c-4d30-8f32-746968e1b455,958827d6-30b4-4f21-9da2-e2e5c43635d0,55757f45-a7b4-4005-bf27-43869acade56,,f4a5b854-d517-4008-954b-07efefb9efc3
2026-11-03,JST,62,SGN,SYD,2,,1,,false,,2026-11-03T22:40,,,,,,2026-11-04T11:30,,Boeing 787-8,,,,,,,,40ad2f54-ecd2-4a2c-a5b7-35854c01d8da,268ac079-2a87-4263-9ea7-45abb07d3405,55757f45-a7b4-4005-bf27-43869acade56,958827d6-30b4-4f21-9da2-e2e5c43635d0,,4f948d40-962a-4fdf-b1d9-424282d24f76
2012-05-04,VOZ,1413,SYD,CNS,2,,,,false,,2012-05-04T08:10,,,,,,2012-05-04T10:25,,Boeing 737-800,,,,,,,,,2b596251-7ba3-4470-a4bf-845085839443,958827d6-30b4-4f21-9da2-e2e5c43635d0,a9a7edde-dc66-4e93-93fd-2cccf1db8c10,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2012-05-08,VOZ,DJ1328,CNS,SYD,,,,,false,,2012-05-08T00:00,,,,,,,,Boeing 737-800,,,,,,,,,2b596251-7ba3-4470-a4bf-845085839443,a9a7edde-dc66-4e93-93fd-2cccf1db8c10,958827d6-30b4-4f21-9da2-e2e5c43635d0,,bfed5d53-9645-4ae2-aa8b-808123bd938b
